組み合わせ,最頻出着順1,出現数1,出現率1,最頻出着順2,出現数2,出現率2,最頻出着順3,出現数3,出現率3,レース数
AAAABD,1-5-2,1,1.0,---,0,0.0,---,0,0.0,1
AAAACD,1-3-2,7,0.167,1-2-4,5,0.119,1-2-3,4,0.095,42
AAAADB,1-3-4,1,1.0,---,0,0.0,---,0,0.0,1
AAAADC,1-4-3,5,0.132,1-2-4,4,0.105,2-1-4,3,0.079,38
AAAADD,1-3-2,14,0.124,1-2-4,11,0.097,1-4-2,10,0.088,113
AAABAD,2-3-4,1,0.2,1-4-5,1,0.2,1-3-5,1,0.2,5
AAABBC,1-4-2,1,1.0,---,0,0.0,---,0,0.0,1
AAABBD,1-2-3,19,0.153,1-3-2,18,0.145,1-2-4,10,0.081,124
AAABCB,6-1-2,1,1.0,---,0,0.0,---,0,0.0,1
AAABCC,1-3-4,7,0.108,2-1-3,7,0.108,1-2-3,7,0.108,65
AAABCD,1-2-3,65,0.173,1-3-2,43,0.114,1-3-4,21,0.056,376
AAABDA,4-1-2,1,1.0,---,0,0.0,---,0,0.0,1
AAABDB,1-2-3,13,0.203,2-1-3,7,0.109,1-2-4,4,0.062,64
AAABDC,1-2-3,36,0.16,1-3-2,25,0.111,1-2-4,17,0.076,225
AAABDD,1-2-3,34,0.157,1-3-2,26,0.12,2-1-3,15,0.069,216
AAACAD,1-3-4,4,0.111,1-3-2,4,0.111,1-3-5,3,0.083,36
AAACBC,1-2-3,11,0.153,1-3-4,5,0.069,1-3-2,5,0.069,72
AAACBD,1-2-3,43,0.142,1-3-2,24,0.079,1-2-5,21,0.069,303
AAACCB,1-2-3,13,0.188,1-3-2,9,0.13,1-2-4,5,0.072,69
AAACCC,1-2-3,57,0.172,1-3-2,47,0.142,1-2-4,20,0.06,331
AAACCD,1-2-3,48,0.196,1-3-2,42,0.171,1-2-4,21,0.086,245
AAACDA,1-2-3,4,0.108,2-6-3,3,0.081,1-3-4,3,0.081,37
AAACDB,1-2-3,41,0.172,1-3-2,20,0.084,1-2-4,16,0.067,238
