組み合わせ,最頻出着順1,出現数1,出現率1,最頻出着順2,出現数2,出現率2,最頻出着順3,出現数3,出現率3,レース数
CCBSDA,1-4-3,6,0.092,2-1-4,3,0.046,1-3-4,3,0.046,65
CCBSDB,4-2-1,3,0.12,4-1-3,2,0.08,4-3-1,2,0.08,25
CCBSDC,4-1-3,1,1.0,---,0,0.0,---,0,0.0,1
CCBSDS,1-3-6,4,0.148,2-1-4,2,0.074,4-3-6,2,0.074,27
CCBSSC,4-5-2,1,0.2,1-4-5,1,0.2,1-4-2,1,0.2,5
CCBSSD,4-1-2,2,0.087,4-3-5,2,0.087,4-5-1,2,0.087,23
CCCAAA,1-2-4,4,0.043,1-5-4,4,0.043,4-6-5,4,0.043,92
CCCAAB,4-5-6,8,0.046,1-2-4,7,0.04,4-5-1,6,0.034,174
CCCAAC,4-2-5,2,0.054,4-1-2,2,0.054,2-3-1,2,0.054,37
CCCAAD,1-5-2,1,1.0,---,0,0.0,---,0,0.0,1
CCCAAS,1-5-2,1,0.167,2-5-4,1,0.167,3-1-5,1,0.167,6
CCCABA,1-4-6,8,0.044,1-5-4,7,0.038,1-3-4,6,0.033,182
CCCABB,1-2-4,5,0.094,1-3-4,3,0.057,1-4-2,3,0.057,53
CCCABS,2-4-6,3,0.046,1-2-5,3,0.046,1-4-6,3,0.046,65
CCCACA,1-6-4,3,0.091,1-2-6,3,0.091,1-2-4,2,0.061,33
CCCACS,1-6-4,4,0.053,4-6-1,4,0.053,4-1-6,3,0.039,76
CCCADS,6-1-4,1,0.077,6-2-1,1,0.077,6-2-3,1,0.077,13
CCCASA,1-5-3,1,0.333,5-1-4,1,0.333,5-3-6,1,0.333,3
CCCASB,4-5-6,4,0.091,3-4-5,3,0.068,5-2-4,3,0.068,44
CCCASC,1-4-5,5,0.128,5-2-3,2,0.051,5-4-6,2,0.051,39
CCCASD,4-5-3,2,0.2,1-2-5,1,0.1,1-3-2,1,0.1,10
CCCBAA,1-6-2,6,0.037,1-2-6,6,0.037,5-1-6,5,0.031,163
CCCBAB,5-4-6,3,0.071,1-3-4,3,0.071,6-2-5,2,0.048,42
CCCBAS,1-2-3,3,0.077,4-5-6,3,0.077,2-6-5,3,0.077,39
CCCBBA,1-2-6,3,0.055,1-3-5,3,0.055,1-2-4,3,0.055,55
CCCBBS,1-2-6,4,0.044,1-6-2,4,0.044,1-4-6,3,0.033,90
CCCBCS,6-4-1,2,0.105,2-1-6,2,0.105,1-2-6,2,0.105,19
CCCBDS,6-2-3,1,1.0,---,0,0.0,---,0,0.0,1
CCCBSA,1-5-3,3,0.07,5-1-6,3,0.07,4-5-1,2,0.047,43
CCCBSB,1-5-2,4,0.059,5-1-4,4,0.059,4-5-2,3,0.044,68
CCCBSC,5-6-1,3,0.136,5-1-2,2,0.091,5-1-3,2,0.091,22
CCCBSD,5-2-4,1,1.0,---,0,0.0,---,0,0.0,1
CCCBSS,2-1-5,1,0.5,2-4-5,1,0.5,---,0,0.0,2
CCCCAA,6-3-5,2,0.105,5-1-2,1,0.053,5-1-3,1,0.053,19
CCCCAS,5-6-1,3,0.053,6-2-3,3,0.053,5-6-4,3,0.053,57
CCCCBS,1-6-2,2,0.133,1-3-6,2,0.133,6-3-2,1,0.067,15
CCCCCS,2-6-3,1,0.5,5-6-3,1,0.5,---,0,0.0,2
CCCCSA,1-2-6,3,0.061,1-6-3,3,0.061,5-1-6,3,0.061,49
CCCCSB,5-1-3,3,0.13,5-6-2,2,0.087,3-5-2,2,0.087,23
CCCCSS,2-3-4,1,0.071,2-6-1,1,0.071,3-5-4,1,0.071,14
CCCDAA,5-6-1,1,1.0,---,0,0.0,---,0,0.0,1
CCCDAS,5-6-1,2,0.182,1-2-3,1,0.091,1-3-6,1,0.091,11
CCCDBS,6-3-1,1,1.0,---,0,0.0,---,0,0.0,1
CCCDSA,1-2-5,2,0.25,1-2-6,1,0.125,1-5-6,1,0.125,8
CCCDSB,2-5-3,1,0.5,5-4-2,1,0.5,---,0,0.0,2
CCCDSS,1-5-2,2,0.167,1-2-3,2,0.167,1-5-6,1,0.083,12
CCCSAA,4-3-6,1,1.0,---,0,0.0,---,0,0.0,1
CCCSAB,1-2-4,4,0.073,4-1-6,3,0.055,4-1-2,3,0.055,55
CCCSAC,4-5-6,5,0.088,1-4-2,2,0.035,1-2-4,2,0.035,57
CCCSAD,1-4-5,2,0.133,4-3-1,1,0.067,4-3-5,1,0.067,15
CCCSBA,4-1-6,5,0.119,1-4-6,3,0.071,1-2-6,3,0.071,42
CCCSBB,4-3-6,6,0.059,4-1-5,6,0.059,4-1-3,5,0.049,102
CCCSBC,1-4-3,3,0.103,4-5-3,2,0.069,1-4-5,2,0.069,29
CCCSBD,4-1-2,1,0.25,4-3-5,1,0.25,4-5-6,1,0.25,4
CCCSCA,4-1-6,4,0.069,1-4-6,3,0.052,4-6-1,3,0.052,58
CCCSCB,4-2-1,4,0.108,4-2-6,3,0.081,4-6-5,2,0.054,37
CCCSCS,6-3-2,1,0.083,6-4-3,1,0.083,6-5-4,1,0.083,12
CCCSDA,4-1-6,2,0.118,2-4-6,1,0.059,1-2-3,1,0.059,17
CCCSDB,4-1-2,1,1.0,---,0,0.0,---,0,0.0,1
CCCSDS,1-4-6,3,0.2,1-2-6,1,0.067,1-4-2,1,0.067,15
CCCSSB,4-1-5,1,0.5,4-6-1,1,0.5,---,0,0.0,2
CCCSSC,1-3-4,1,0.125,1-4-2,1,0.125,2-1-4,1,0.125,8
CCCSSD,4-5-3,2,0.167,4-5-2,2,0.167,1-4-5,1,0.083,12
CCDAAA,5-4-6,4,0.08,5-1-4,3,0.06,5-6-4,2,0.04,50
CCDAAB,1-5-4,3,0.231,1-2-3,1,0.077,1-2-6,1,0.077,13
CCDAAC,5-6-1,1,1.0,---,0,0.0,---,0,0.0,1
CCDAAS,4-1-2,2,0.111,4-5-6,2,0.111,1-4-2,1,0.056,18
CCDABA,4-5-6,4,0.235,5-4-6,2,0.118,5-1-4,1,0.059,17
CCDABS,4-1-6,3,0.115,1-6-4,2,0.077,5-6-1,2,0.077,26
CCDACS,1-4-6,1,0.333,3-6-2,1,0.333,4-1-2,1,0.333,3
CCDADS,4-6-5,1,1.0,---,0,0.0,---,0,0.0,1
CCDASA,5-4-2,3,0.15,4-5-6,2,0.1,4-5-1,2,0.1,20
CCDASB,1-2-4,2,0.077,1-4-3,2,0.077,1-3-5,2,0.077,26
CCDASC,1-5-2,2,0.333,1-5-6,1,0.167,4-2-5,1,0.167,6
CCDBAA,5-6-2,2,0.143,4-1-6,2,0.143,1-4-5,1,0.071,14
CCDBAS,1-6-5,3,0.103,4-6-1,2,0.069,4-1-6,2,0.069,29
CCDBBA,2-5-6,1,1.0,---,0,0.0,---,0,0.0,1
CCDBBS,6-2-1,1,0.1,6-2-4,1,0.1,4-6-1,1,0.1,10
CCDBCS,6-1-2,1,1.0,---,0,0.0,---,0,0.0,1
CCDBSA,4-5-6,2,0.074,1-6-5,2,0.074,1-4-5,2,0.074,27
CCDBSB,5-4-6,1,0.25,1-5-4,1,0.25,3-4-2,1,0.25,4
CCDBSC,4-2-5,1,1.0,---,0,0.0,---,0,0.0,1
CCDBSS,1-4-2,1,0.333,5-1-4,1,0.333,6-5-3,1,0.333,3
CCDCAS,6-2-1,2,0.2,3-1-2,1,0.1,4-6-1,1,0.1,10
CCDCSA,1-5-2,2,0.25,1-6-5,1,0.125,2-1-5,1,0.125,8
CCDCSS,5-6-2,1,0.167,6-1-5,1,0.167,6-4-5,1,0.167,6
CCDDAS,3-5-2,1,1.0,---,0,0.0,---,0,0.0,1
CCDDSA,6-5-1,1,1.0,---,0,0.0,---,0,0.0,1
CCDDSS,6-1-5,1,1.0,---,0,0.0,---,0,0.0,1
CCDSAA,1-2-4,2,0.105,1-5-4,1,0.053,2-5-6,1,0.053,19
CCDSAB,4-1-5,5,0.132,4-5-2,3,0.079,4-2-1,2,0.053,38
CCDSAC,4-2-3,1,0.2,4-2-5,1,0.2,4-3-2,1,0.2,5
CCDSAD,1-4-3,1,0.5,1-5-2,1,0.5,---,0,0.0,2
CCDSAS,2-4-6,1,1.0,---,0,0.0,---,0,0.0,1
CCDSBA,2-4-6,3,0.103,4-1-5,2,0.069,4-1-6,2,0.069,29
CCDSBB,4-1-6,3,0.167,4-1-5,3,0.167,6-5-4,2,0.111,18
CCDSBC,4-5-6,1,1.0,---,0,0.0,---,0,0.0,1
CCDSBS,1-2-4,1,0.5,4-6-3,1,0.5,---,0,0.0,2
CCDSCA,4-5-6,1,0.333,4-1-5,1,0.333,2-4-1,1,0.333,3
CCDSCB,4-1-6,1,0.25,4-6-1,1,0.25,5-1-2,1,0.25,4
CCDSCS,1-4-6,2,0.286,1-2-4,1,0.143,1-4-2,1,0.143,7
CCDSDA,4-6-5,2,0.5,1-3-4,1,0.25,4-1-6,1,0.25,4
CCDSDS,6-4-2,1,0.2,2-4-6,1,0.2,4-6-2,1,0.2,5
CCDSSA,1-2-5,1,1.0,---,0,0.0,---,0,0.0,1
CCDSSB,4-5-6,2,0.286,4-1-3,1,0.143,4-1-5,1,0.143,7
CCDSSC,2-5-1,1,0.333,4-6-2,1,0.333,5-4-1,1,0.333,3
CCDSSD,4-5-3,2,0.333,1-4-5,1,0.167,1-2-4,1,0.167,6
CCSAAD,3-5-4,5,0.106,3-2-5,3,0.064,3-1-4,3,0.064,47
CCSABB,1-4-2,1,0.2,2-1-4,1,0.2,3-2-1,1,0.2,5
CCSABC,3-1-4,7,0.093,1-3-4,4,0.053,3-4-1,4,0.053,75
CCSABD,3-4-5,11,0.131,3-2-4,6,0.071,1-3-4,6,0.071,84
CCSACA,1-3-4,1,0.2,1-4-3,1,0.2,2-1-6,1,0.2,5
CCSACB,3-4-1,5,0.081,1-4-3,4,0.065,1-3-4,3,0.048,62
CCSACC,1-3-4,7,0.089,3-4-2,5,0.063,3-1-4,4,0.051,79
CCSACD,1-3-4,3,0.214,3-1-4,2,0.143,1-2-3,1,0.071,14
CCSADA,3-1-4,4,0.07,1-3-4,4,0.07,3-6-1,3,0.053,57
CCSADB,3-1-4,8,0.113,3-4-1,5,0.07,1-3-4,5,0.07,71
CCSADC,3-6-4,2,0.125,6-1-2,1,0.062,4-5-6,1,0.062,16
CCSADD,3-4-1,1,1.0,---,0,0.0,---,0,0.0,1
CCSADS,3-4-6,2,0.333,1-6-2,1,0.167,3-4-2,1,0.167,6
CCSASD,1-3-2,1,0.2,1-3-4,1,0.2,2-4-5,1,0.2,5
CCSBAB,4-6-2,1,0.2,3-5-4,1,0.2,1-5-4,1,0.2,5
CCSBAC,3-1-5,5,0.07,3-2-5,5,0.07,1-3-4,4,0.056,71
CCSBAD,3-1-5,9,0.114,3-1-4,7,0.089,3-2-5,5,0.063,79
CCSBBA,3-1-6,2,0.182,3-2-6,2,0.182,1-3-4,1,0.091,11
CCSBBB,3-1-4,9,0.074,1-3-6,6,0.05,1-3-4,5,0.041,121
CCSBBC,3-4-1,8,0.065,1-3-4,8,0.065,3-4-2,6,0.049,123
CCSBBD,3-1-4,3,0.094,1-3-5,3,0.094,5-3-2,2,0.062,32
CCSBCA,3-6-5,4,0.073,1-4-3,4,0.073,3-1-4,3,0.055,55
CCSBCB,1-3-4,11,0.103,3-1-4,8,0.075,3-4-6,5,0.047,107
CCSBCC,3-1-4,3,0.107,2-4-3,2,0.071,1-6-3,2,0.071,28
CCSBCD,1-3-4,1,0.5,3-5-1,1,0.5,---,0,0.0,2
CCSBCS,3-6-2,2,0.667,1-5-4,1,0.333,---,0,0.0,3
CCSBDA,3-1-4,9,0.13,3-4-2,3,0.043,3-4-1,3,0.043,69
CCSBDB,3-1-4,2,0.083,3-4-6,2,0.083,3-2-1,2,0.083,24
CCSBDC,2-4-3,1,0.5,3-4-6,1,0.5,---,0,0.0,2
CCSBDS,3-6-1,4,0.118,3-1-6,3,0.088,4-6-3,2,0.059,34
CCSBSC,4-3-1,1,1.0,---,0,0.0,---,0,0.0,1
CCSBSD,3-1-5,3,0.115,1-5-2,2,0.077,3-5-1,2,0.077,26
CCSCAA,1-2-3,1,0.167,1-2-5,1,0.167,2-1-3,1,0.167,6
CCSCAB,3-1-5,6,0.067,3-2-5,6,0.067,1-3-2,4,0.044,90
CCSCAC,3-2-5,7,0.092,1-2-3,4,0.053,3-1-2,4,0.053,76
CCSCAD,3-1-5,2,0.111,3-2-5,2,0.111,3-4-5,2,0.111,18
CCSCBA,3-2-6,7,0.093,1-2-3,6,0.08,1-3-2,4,0.053,75
CCSCBB,3-1-4,8,0.067,3-1-5,6,0.05,3-2-1,6,0.05,119
CCSCBC,1-3-2,2,0.067,1-2-3,2,0.067,3-5-2,2,0.067,30
CCSCBD,1-3-2,1,0.333,3-1-2,1,0.333,3-4-5,1,0.333,3
CCSCBS,5-1-6,1,1.0,---,0,0.0,---,0,0.0,1
CCSCCA,1-3-6,9,0.103,1-3-2,5,0.057,3-5-6,4,0.046,87
CCSCCB,3-1-5,2,0.143,3-5-6,2,0.143,1-3-2,2,0.143,14
CCSCCC,1-2-3,1,0.2,1-3-4,1,0.2,2-3-4,1,0.2,5
CCSCCD,3-4-5,1,1.0,---,0,0.0,---,0,0.0,1
CCSCCS,1-3-2,3,0.13,3-6-1,2,0.087,3-6-5,2,0.087,23
CCSCDA,1-3-2,2,0.095,3-1-5,2,0.095,3-1-2,1,0.048,21
CCSCDB,3-1-2,1,0.5,3-4-1,1,0.5,---,0,0.0,2
CCSCDS,1-2-6,3,0.12,3-6-1,3,0.12,3-1-4,2,0.08,25
CCSCSC,3-5-1,2,0.133,5-1-6,1,0.067,5-2-1,1,0.067,15
CCSCSD,1-5-3,5,0.2,3-4-5,2,0.08,3-5-4,2,0.08,25
CCSDAA,3-6-5,3,0.079,3-1-6,3,0.079,1-3-5,3,0.079,38
CCSDAB,1-3-5,7,0.117,3-1-5,5,0.083,1-2-3,3,0.05,60
CCSDAC,1-5-3,1,0.125,2-1-5,1,0.125,3-1-2,1,0.125,8
CCSDAD,3-5-2,2,0.5,1-3-6,1,0.25,3-4-1,1,0.25,4
CCSDAS,1-3-5,1,0.5,3-6-5,1,0.5,---,0,0.0,2
CCSDBA,3-1-6,5,0.075,3-1-5,5,0.075,3-5-6,4,0.06,67
CCSDBB,1-3-6,2,0.167,1-2-3,1,0.083,1-2-4,1,0.083,12
CCSDBC,3-5-1,1,1.0,---,0,0.0,---,0,0.0,1
CCSDBS,1-6-3,2,0.143,5-6-3,1,0.071,6-3-5,1,0.071,14
CCSDCA,1-5-3,2,0.133,3-1-2,2,0.133,3-2-5,2,0.133,15
CCSDCB,3-1-5,1,1.0,---,0,0.0,---,0,0.0,1
CCSDCS,1-6-3,3,0.188,3-1-6,3,0.188,1-3-2,1,0.062,16
CCSDDA,1-3-6,1,0.5,3-1-6,1,0.5,---,0,0.0,2
CCSDDS,1-6-3,1,0.5,2-5-3,1,0.5,---,0,0.0,2
CCSDSA,5-6-1,1,0.5,5-6-3,1,0.5,---,0,0.0,2
CCSDSB,3-2-5,2,0.095,3-5-2,2,0.095,5-1-2,2,0.095,21
CCSDSC,1-3-5,2,0.167,5-1-3,2,0.167,1-2-3,1,0.083,12
CCSDSD,2-1-3,1,0.25,3-1-5,1,0.25,3-4-5,1,0.25,4
CCSSAD,4-5-1,1,0.5,4-6-5,1,0.5,---,0,0.0,2
CCSSBC,3-5-6,1,1.0,---,0,0.0,---,0,0.0,1
CCSSBD,2-3-1,2,0.087,3-1-4,2,0.087,3-4-1,2,0.087,23
CCSSCB,3-4-6,1,0.5,4-1-3,1,0.5,---,0,0.0,2
CCSSCC,4-3-5,2,0.182,4-3-6,1,0.091,1-2-3,1,0.091,11
CCSSCD,1-4-5,3,0.167,1-4-3,2,0.111,4-3-1,2,0.111,18
CCSSDA,4-2-1,1,0.25,1-6-4,1,0.25,2-6-1,1,0.25,4
CCSSDB,3-6-2,2,0.095,1-4-3,2,0.095,3-1-4,2,0.095,21
CCSSDC,1-4-3,4,0.182,3-4-2,3,0.136,1-3-4,2,0.091,22
CCSSDD,1-4-3,2,0.25,3-1-2,2,0.25,3-4-1,1,0.125,8
CDAAAA,3-4-6,2,0.4,1-6-5,1,0.2,4-5-3,1,0.2,5
CDAAAB,3-4-1,4,0.057,1-4-3,4,0.057,1-4-2,4,0.057,70
CDAAAC,3-1-4,8,0.099,1-3-4,6,0.074,3-4-5,5,0.062,81
CDAAAD,1-4-5,2,0.118,4-3-5,2,0.118,5-3-4,1,0.059,17
CDAABA,3-1-5,5,0.076,1-3-4,4,0.061,3-1-4,4,0.061,66
CDAABB,3-1-4,7,0.058,1-3-4,6,0.05,3-4-5,5,0.042,120
CDAABC,1-3-4,3,0.158,4-5-3,2,0.105,1-5-4,2,0.105,19
CDAABD,3-4-2,1,1.0,---,0,0.0,---,0,0.0,1
CDAABS,2-1-4,1,1.0,---,0,0.0,---,0,0.0,1
CDAACA,3-1-4,6,0.065,3-4-6,6,0.065,4-1-6,5,0.054,92
CDAACB,3-5-6,1,0.062,3-6-4,1,0.062,4-3-5,1,0.062,16
CDAACS,4-6-5,2,0.071,3-1-6,2,0.071,4-1-3,2,0.071,28
CDAADA,1-3-4,2,0.1,1-6-3,2,0.1,1-4-2,1,0.05,20
CDAADS,3-4-6,4,0.167,3-1-6,2,0.083,3-1-2,1,0.042,24
CDAASA,3-1-5,1,1.0,---,0,0.0,---,0,0.0,1
CDAASB,5-1-4,1,0.5,4-5-1,1,0.5,---,0,0.0,2
CDAASC,3-4-5,2,0.143,1-4-3,2,0.143,1-5-3,2,0.143,14
CDAASD,5-3-1,3,0.111,1-3-2,2,0.074,5-2-4,2,0.074,27
CDABAA,1-3-6,4,0.062,3-1-5,3,0.047,3-5-6,3,0.047,64
CDABAB,3-1-5,7,0.055,1-4-5,7,0.055,1-3-5,7,0.055,127
CDABAC,1-5-3,3,0.2,5-3-4,2,0.133,1-2-3,1,0.067,15
CDABAS,5-1-6,2,0.333,4-6-3,1,0.167,1-3-6,1,0.167,6
CDABBA,3-1-4,6,0.05,3-4-1,5,0.041,3-6-4,4,0.033,121
CDABBB,3-1-4,5,0.152,1-5-3,3,0.091,1-3-5,3,0.091,33
CDABBS,3-6-4,2,0.054,5-1-3,2,0.054,2-6-3,2,0.054,37
CDABCA,3-2-4,2,0.1,3-4-2,1,0.05,3-5-6,1,0.05,20
CDABCB,3-4-6,1,1.0,---,0,0.0,---,0,0.0,1
CDABCS,6-3-1,5,0.109,3-6-5,3,0.065,3-6-1,3,0.065,46
CDABDA,1-3-2,1,1.0,---,0,0.0,---,0,0.0,1
CDABDS,3-1-6,2,0.111,1-6-4,2,0.111,6-3-4,2,0.111,18
CDABSA,3-2-1,1,0.167,4-1-2,1,0.167,4-5-6,1,0.167,6
CDABSB,1-3-5,4,0.118,5-1-3,3,0.088,1-5-3,3,0.088,34
CDABSC,4-3-5,4,0.095,1-5-4,3,0.071,2-1-3,3,0.071,42
CDABSD,1-5-4,2,0.2,1-3-5,1,0.1,3-1-4,1,0.1,10
CDACAA,1-3-6,5,0.06,3-1-6,5,0.06,3-5-2,4,0.048,83
CDACAB,3-6-5,1,0.077,6-4-3,1,0.077,5-1-6,1,0.077,13
CDACAS,3-1-5,3,0.107,4-1-6,2,0.071,1-3-5,2,0.071,28
CDACBA,1-3-5,2,0.091,5-4-3,2,0.091,1-5-3,2,0.091,22
CDACBB,1-4-3,1,1.0,---,0,0.0,---,0,0.0,1
CDACBS,1-6-3,4,0.08,6-1-3,3,0.06,1-3-6,3,0.06,50
CDACCS,6-3-5,2,0.167,1-6-4,2,0.167,1-3-5,1,0.083,12
CDACDS,1-4-6,1,0.333,4-2-1,1,0.333,6-1-3,1,0.333,3
CDACSA,3-1-4,2,0.118,1-5-6,2,0.118,3-6-5,2,0.118,17
CDACSB,3-1-5,3,0.094,1-5-6,2,0.062,3-1-6,2,0.062,32
CDACSC,1-3-2,1,0.143,1-3-5,1,0.143,1-6-2,1,0.143,7
CDACSD,5-1-4,1,1.0,---,0,0.0,---,0,0.0,1
CDACSS,5-3-2,1,1.0,---,0,0.0,---,0,0.0,1
CDADAA,3-4-2,2,0.133,5-3-4,1,0.067,5-1-4,1,0.067,15
CDADAS,1-2-3,3,0.081,3-6-5,3,0.081,6-3-5,2,0.054,37
CDADBS,1-6-3,2,0.182,1-3-6,1,0.091,5-3-6,1,0.091,11
CDADSA,1-3-5,3,0.115,2-5-3,2,0.077,1-5-3,2,0.077,26
CDADSB,1-5-4,1,0.083,1-3-6,1,0.083,3-1-5,1,0.083,12
CDADSC,5-3-6,1,1.0,---,0,0.0,---,0,0.0,1
CDADSS,5-1-6,2,0.286,1-2-3,1,0.143,3-4-5,1,0.143,7
CDASAB,1-6-5,1,0.2,4-5-6,1,0.2,4-1-5,1,0.2,5
CDASAC,3-4-5,3,0.136,3-5-4,2,0.091,4-5-6,1,0.045,22
CDASAD,1-3-4,3,0.088,1-3-5,2,0.059,1-4-3,2,0.059,34
CDASBA,4-3-6,1,0.167,4-3-1,1,0.167,1-4-5,1,0.167,6
CDASBB,3-2-4,2,0.111,3-4-1,2,0.111,3-5-1,2,0.111,18
CDASBC,3-2-4,2,0.061,1-3-4,2,0.061,3-1-4,2,0.061,33
CDASBD,4-3-2,2,0.154,3-1-4,2,0.154,3-4-5,2,0.154,13
CDASCA,4-5-6,2,0.143,3-4-1,2,0.143,1-4-2,1,0.071,14
CDASCB,3-4-1,4,0.093,1-3-5,2,0.047,3-4-6,2,0.047,43
CDASCC,3-1-5,2,0.2,4-3-1,1,0.1,4-1-5,1,0.1,10
CDASCS,6-4-1,1,1.0,---,0,0.0,---,0,0.0,1
CDASDA,3-4-6,4,0.118,1-4-3,3,0.088,1-3-4,2,0.059,34
CDASDB,1-3-4,2,0.222,3-4-1,2,0.222,3-4-5,1,0.111,9
CDASDC,4-5-3,1,1.0,---,0,0.0,---,0,0.0,1
CDASDS,3-6-4,1,0.2,4-6-2,1,0.2,6-3-4,1,0.2,5
CDASSC,1-5-3,1,1.0,---,0,0.0,---,0,0.0,1
CDASSD,5-4-6,1,0.125,5-4-2,1,0.125,4-5-6,1,0.125,8
CDBAAA,1-3-6,3,0.05,1-5-4,3,0.05,4-5-6,3,0.05,60
CDBAAB,1-4-3,8,0.084,4-1-5,6,0.063,1-4-2,5,0.053,95
CDBAAC,1-4-3,2,0.111,4-1-5,2,0.111,5-3-1,2,0.111,18
CDBAAS,6-1-3,1,0.2,4-6-3,1,0.2,1-3-6,1,0.2,5
CDBABA,1-4-5,8,0.086,4-6-5,5,0.054,3-4-6,4,0.043,93
CDBABB,1-5-6,3,0.1,1-2-3,2,0.067,1-4-5,2,0.067,30
CDBABS,1-4-3,4,0.133,4-3-6,2,0.067,4-5-6,2,0.067,30
CDBACA,4-1-6,2,0.095,1-3-5,2,0.095,1-4-3,2,0.095,21
CDBACS,3-1-6,4,0.118,1-4-6,3,0.088,2-1-3,2,0.059,34
CDBADS,1-4-6,1,0.111,2-4-6,1,0.111,3-1-4,1,0.111,9
CDBASA,5-1-6,1,1.0,---,0,0.0,---,0,0.0,1
CDBASB,5-1-6,2,0.095,5-1-4,2,0.095,4-6-3,1,0.048,21
CDBASC,4-5-6,4,0.118,4-5-1,3,0.088,1-3-5,2,0.059,34
CDBASD,5-3-4,1,0.143,1-2-3,1,0.143,1-2-4,1,0.143,7
CDBBAA,1-5-6,5,0.052,1-3-6,5,0.052,1-3-5,4,0.041,97
CDBBAB,5-3-1,2,0.08,4-3-6,2,0.08,3-5-4,1,0.04,25
CDBBAS,5-6-3,3,0.086,6-5-3,2,0.057,3-5-6,2,0.057,35
CDBBBA,3-1-4,3,0.079,5-1-4,3,0.079,4-1-6,3,0.079,38
CDBBBS,5-6-4,5,0.088,1-3-6,3,0.053,1-6-4,3,0.053,57
CDBBCA,1-3-6,1,0.5,1-4-3,1,0.5,---,0,0.0,2
CDBBCS,1-6-5,2,0.167,6-4-3,1,0.083,6-1-4,1,0.083,12
CDBBDS,6-1-3,1,1.0,---,0,0.0,---,0,0.0,1
CDBBSA,5-3-6,2,0.087,5-1-4,2,0.087,1-3-5,2,0.087,23
CDBBSB,5-3-4,3,0.061,1-5-4,3,0.061,5-1-6,2,0.041,49
CDBBSC,3-4-5,1,0.071,3-1-5,1,0.071,3-5-2,1,0.071,14
CDBBSS,2-5-3,1,1.0,---,0,0.0,---,0,0.0,1
CDBCAA,5-6-1,2,0.077,1-3-4,2,0.077,1-2-4,1,0.038,26
CDBCAB,3-5-1,1,1.0,---,0,0.0,---,0,0.0,1
CDBCAS,3-5-6,2,0.065,3-1-2,2,0.065,1-5-6,2,0.065,31
CDBCBS,3-6-2,2,0.2,6-1-2,1,0.1,4-3-6,1,0.1,10
CDBCSA,1-2-5,2,0.08,1-5-3,2,0.08,3-5-6,2,0.08,25
CDBCSB,3-5-1,4,0.308,3-4-5,1,0.077,5-4-6,1,0.077,13
CDBCSC,5-4-1,1,1.0,---,0,0.0,---,0,0.0,1
CDBCSS,3-5-4,1,0.333,3-1-5,1,0.333,5-1-6,1,0.333,3
CDBDAA,6-1-5,1,1.0,---,0,0.0,---,0,0.0,1
CDBDAS,1-5-6,2,0.286,1-3-6,1,0.143,3-5-6,1,0.143,7
CDBDSA,1-5-6,2,0.154,5-6-1,2,0.154,1-3-6,1,0.077,13
CDBDSB,3-5-1,1,1.0,---,0,0.0,---,0,0.0,1
CDBDSS,2-5-6,2,0.25,6-5-2,1,0.125,6-4-1,1,0.125,8
CDBSAA,4-1-5,1,0.5,5-1-4,1,0.5,---,0,0.0,2
CDBSAB,3-4-1,3,0.115,1-4-3,2,0.077,4-1-6,2,0.077,26
CDBSAC,4-5-1,2,0.105,1-4-3,2,0.105,1-3-4,2,0.105,19
CDBSAD,1-4-3,2,0.2,4-3-5,2,0.2,4-5-1,1,0.1,10
CDBSBA,4-6-3,3,0.125,1-4-6,2,0.083,1-2-3,2,0.083,24
CDBSBB,1-4-3,8,0.143,4-3-6,4,0.071,3-1-5,3,0.054,56
CDBSBC,5-4-2,1,0.2,1-5-4,1,0.2,1-4-5,1,0.2,5
CDBSBD,3-4-5,1,1.0,---,0,0.0,---,0,0.0,1
CDBSBS,4-6-3,2,1.0,---,0,0.0,---,0,0.0,2
CDBSCA,3-4-6,4,0.182,1-4-3,3,0.136,4-3-6,2,0.091,22
CDBSCB,4-3-1,3,0.3,1-4-5,2,0.2,4-6-2,1,0.1,10
CDBSCC,4-3-1,1,1.0,---,0,0.0,---,0,0.0,1
CDBSCS,4-1-6,2,0.25,1-4-6,2,0.25,4-1-2,1,0.125,8
CDBSDA,1-2-6,1,0.25,1-4-3,1,0.25,3-4-2,1,0.25,4
CDBSDB,1-4-3,1,1.0,---,0,0.0,---,0,0.0,1
CDBSDS,1-3-6,2,0.222,6-1-5,1,0.111,6-2-4,1,0.111,9
CDBSSB,3-5-4,1,1.0,---,0,0.0,---,0,0.0,1
CDBSSC,4-3-1,1,0.167,5-3-6,1,0.167,5-6-4,1,0.167,6
CDBSSD,5-3-4,2,0.25,3-4-5,2,0.25,1-4-2,1,0.125,8
CDCAAA,4-5-6,4,0.075,1-4-5,3,0.057,1-3-4,2,0.038,53
CDCAAB,1-5-2,2,0.095,1-4-5,2,0.095,1-5-4,1,0.048,21
CDCAAS,1-2-4,2,0.133,4-1-6,2,0.133,6-4-5,1,0.067,15
CDCABA,1-4-6,2,0.125,1-2-5,1,0.062,3-4-6,1,0.062,16
CDCABS,4-6-5,3,0.107,2-6-4,2,0.071,4-3-5,2,0.071,28
CDCACS,6-1-3,2,0.182,5-4-6,1,0.091,4-5-2,1,0.091,11
CDCASA,4-5-6,2,0.182,1-3-6,1,0.091,1-2-5,1,0.091,11
